Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 12:00:00,11.600000000000001,-67.4,24,1008
2021-08-24 18:00:00,11.9,-69.0,32,1006
2021-08-25 00:00:00,11.9,-71.10000000000001,34,1006
2021-08-25 06:00:00,12.200000000000001,-73.3,30,1006
2021-08-25 12:00:00,12.200000000000001,-74.9,34,1005
2021-08-25 18:00:00,12.9,-76.10000000000001,26,1006
2021-08-26 00:00:00,14.600000000000001,-77.5,30,1006
2021-08-26 06:00:00,14.8,-78.60000000000001,37,1006
2021-08-26 12:00:00,15.3,-79.80000000000001,32,1004
2021-08-26 18:00:00,15.0,-80.9,30,1004
2021-08-27 00:00:00,15.0,-82.0,29,1004
2021-08-27 06:00:00,14.700000000000001,-82.2,31,1004
2021-08-27 12:00:00,15.700000000000001,-82.7,34,1000
2021-08-27 18:00:00,17.1,-83.9,43,1001
2021-08-28 00:00:00,18.8,-85.60000000000001,48,999
