Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 18:00:00,11.9,-70.10000000000001,24,1005
2021-08-25 00:00:00,11.9,-71.7,33,1006
2021-08-25 06:00:00,11.5,-73.2,31,1003
2021-08-25 12:00:00,11.8,-75.3,31,1006
2021-08-25 18:00:00,12.8,-76.60000000000001,28,1005
2021-08-26 00:00:00,13.8,-78.10000000000001,31,1006
2021-08-26 06:00:00,14.100000000000001,-79.2,29,1006
2021-08-26 12:00:00,15.3,-79.7,29,1007
2021-08-26 18:00:00,16.7,-80.10000000000001,36,1005
2021-08-27 00:00:00,17.3,-80.80000000000001,39,1003
2021-08-27 06:00:00,18.2,-81.60000000000001,44,1002
2021-08-27 12:00:00,19.200000000000003,-82.4,45,1001
2021-08-27 18:00:00,20.400000000000002,-83.4,50,995
2021-08-28 00:00:00,21.8,-84.60000000000001,60,989
2021-08-28 06:00:00,22.900000000000002,-86.0,67,986
2021-08-28 12:00:00,24.0,-87.4,61,983
2021-08-28 18:00:00,24.900000000000002,-88.60000000000001,70,977
2021-08-29 00:00:00,26.200000000000003,-89.60000000000001,82,973
