Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-25 00:00:00,12.200000000000001,-71.60000000000001,26,1005
2021-08-25 06:00:00,11.9,-72.5,30,1006
2021-08-25 12:00:00,12.100000000000001,-74.10000000000001,34,1006
2021-08-25 18:00:00,12.9,-75.5,28,1007
2021-08-26 00:00:00,13.9,-77.4,32,1006
2021-08-26 06:00:00,14.5,-78.80000000000001,38,1007
2021-08-26 12:00:00,15.200000000000001,-79.7,32,1007
2021-08-26 18:00:00,16.6,-80.0,34,1006
2021-08-27 00:00:00,18.1,-80.7,37,1005
2021-08-27 06:00:00,18.6,-81.9,40,1002
2021-08-27 12:00:00,19.3,-82.60000000000001,44,998
2021-08-27 18:00:00,20.3,-83.30000000000001,47,996
2021-08-28 00:00:00,21.6,-84.5,53,991
2021-08-28 06:00:00,22.700000000000003,-85.60000000000001,59,989
2021-08-28 12:00:00,23.900000000000002,-87.0,64,985
2021-08-28 18:00:00,24.900000000000002,-88.4,70,979
2021-08-29 00:00:00,25.8,-89.60000000000001,70,977
