Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-25 00:00:00,12.200000000000001,-71.60000000000001,26,1005
2021-08-25 06:00:00,11.9,-72.5,30,1006
2021-08-25 12:00:00,11.9,-73.5,36,1006
2021-08-25 18:00:00,12.700000000000001,-74.3,27,1007
2021-08-26 00:00:00,14.0,-76.10000000000001,31,1007
2021-08-26 06:00:00,15.100000000000001,-78.4,36,1007
2021-08-26 12:00:00,15.700000000000001,-79.30000000000001,31,1006
2021-08-26 18:00:00,16.900000000000002,-79.9,36,1007
2021-08-27 00:00:00,17.8,-81.10000000000001,38,1005
2021-08-27 06:00:00,18.400000000000002,-82.2,42,1003
2021-08-27 12:00:00,19.0,-83.10000000000001,42,1001
2021-08-27 18:00:00,20.400000000000002,-83.80000000000001,52,994
2021-08-28 00:00:00,21.8,-84.9,58,993
2021-08-28 06:00:00,23.1,-86.30000000000001,67,987
2021-08-28 12:00:00,24.3,-87.60000000000001,64,982
2021-08-28 18:00:00,25.3,-89.0,70,979
