Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,34.47789917437369,1.0,11.0
12.0,97.74951356237986,-1.0,4.0
18.0,109.18953557583482,0.0,6.0
24.0,67.59648907571864,0.0,1.0
30.0,169.94586201327587,0.0,-1.0
36.0,66.71705023451474,0.0,0.0
42.0,21.5784222629257,0.0,0.0
48.0,119.0699191122415,0.0,0.0
54.0,143.74845100169674,-2.0,5.0
60.0,155.6731172138679,-1.0,-2.0
66.0,199.4579433350637,2.0,-6.0
72.0,256.2498222230054,3.0,-9.0
78.0,299.7509571540158,6.0,-7.0
84.0,368.56016592730344,14.0,-27.0
