Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,87.63886799467038,-1.0,1.0
6.0,93.29256490167106,0.0,5.0
12.0,141.06999062433215,0.0,4.0
18.0,85.91296349265288,1.0,-2.0
24.0,44.57538520120178,0.0,2.0
30.0,115.98198610400776,1.0,8.0
36.0,167.98288384381516,1.0,2.0
42.0,103.63386674224947,0.0,-1.0
48.0,57.30715451497792,1.0,-3.0
54.0,137.71964649125425,0.0,-5.0
60.0,154.3399980447208,2.0,-11.0
66.0,151.9601335513077,9.0,-23.0
72.0,151.58543708096067,2.0,-17.0
78.0,128.00957528435418,2.0,-11.0
84.0,143.1394419345715,-1.0,-6.0
90.0,197.04923672929286,3.0,-10.0
96.0,223.1490166338521,10.0,-20.0
