Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,87.63886799467038,-1.0,1.0
6.0,93.29256490167106,0.0,5.0
12.0,132.4711754839906,0.0,5.0
18.0,89.07529150974572,1.0,2.0
24.0,89.16879442128068,0.0,-2.0
30.0,139.5366521552581,1.0,2.0
36.0,195.1536479662602,1.0,1.0
42.0,188.6179375394792,-1.0,-1.0
48.0,138.23612624424464,1.0,0.0
54.0,168.01031594013708,-2.0,-5.0
60.0,164.23691804085573,4.0,-16.0
66.0,132.8783169165524,10.0,-22.0
72.0,127.22154984475631,5.0,-19.0
78.0,120.8640364098374,2.0,-11.0
84.0,127.94182831298684,2.0,-15.0
90.0,152.15643013886793,7.0,-14.0
96.0,182.62271433818756,10.0,-21.0
102.0,190.20750573229043,24.0,-39.0
