Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,87.63886799467038,-1.0,1.0
6.0,93.29256490167106,0.0,5.0
12.0,202.2436197612196,0.0,6.0
18.0,204.47431216301547,1.0,-3.0
24.0,97.10284464042614,1.0,1.0
30.0,44.34879779885584,1.0,6.0
36.0,123.3713633147306,0.0,1.0
42.0,108.74385070217349,0.0,-2.0
48.0,161.01748279211486,2.0,-2.0
54.0,245.1175222669123,3.0,-7.0
60.0,300.3055578884687,8.0,-16.0
66.0,329.7303769987442,17.0,-29.0
72.0,331.51571375412794,10.0,-21.0
78.0,328.449852245975,11.0,-16.0
84.0,348.3347295838549,9.0,-16.0
